px0,py0,pz0,x0,y0,z0,px1,py1,pz1,x1,y1,z1
0,0,4690.61,-2867.31,5125.92,-14833.6,61.6799,-51.5745,1375.2,-2636.01,4844.84,7500
0,0,2045.02,4810.87,-164.329,-14971.9,-0,-0,0,4741.62,-529.952,1381.51
0,0,1318.28,-4642.52,-2780.66,-14945.7,-0,-0,0,-4689.36,-2771.22,-1117.16
0,0,4625.91,5043.05,-5567.11,-14905,-50.7049,46.5888,1349.88,4936.54,-5528.95,7500
0,0,3940.63,-1677.78,-726.216,-14636.6,23.5074,-18.8434,732.851,-1583.47,-896.022,7500
0,0,1499.98,-2504.72,3158.16,-14975.2,-0,-0,0,-2784.4,3274.44,-192.487
0,0,1984.43,-4988.71,3575.97,-14530.9,-0,0,0,-4990.79,3249.31,1248.37
0,0,2643.91,2279.3,-3568.15,-14825.4,-0,0,0,2428.6,-3741.09,2760.01
0,0,1036.14,2927.2,-3717.09,-14831.6,-0,0,0,2999.38,-3810.15,-1989.04
0,0,3700.78,-1933.68,-3879.92,-14815.4,-42.0062,-16.698,552.252,-2074.11,-3911.79,7500
0,0,4787.81,-2537.68,-3110.18,-14944.9,-75.2566,-17.1793,1552.88,-2971.3,-3187.02,7500
0,0,3292.77,3512.82,-5202.44,-14907.1,-0,-0,0,3585.39,-5100.9,4840.78
0,0,5669.61,-3935.96,-4259.83,-14897.9,-61.2322,-74.8449,2510.65,-4153.22,-4426.36,7500
0,0,4933.49,5141.27,2316.49,-14942.4,51.398,-73.939,1630.28,5365.27,1981.81,7500
0,0,4349.89,-1133.36,1450.84,-14782.4,21.2622,-49.8379,766.694,-1059.75,966.212,7500
0,0,1253.56,-1559.75,5590.31,-14688.6,0,-0,0,-1236.15,5723.51,-1321.87
0,0,2439.79,-4570.61,1518.82,-14966.6,-0,0,0,-4671.29,2071.64,2536.8
0,0,1141.3,-1952.74,-858.734,-14986.5,0,0,0,-1790.96,-682.643,-1675.13
0,0,2188.88,-3700.16,2799.1,-14812.3,-0,-0,0,-3670.77,2641.25,1860.41
0,0,3127.65,-1135.67,3111.31,-14974.3,-0,-0,0,-1112.92,3270.11,4332.73
0,0,1377.31,-1525.61,5241.9,-14993.3,0,0,0,-1581.04,5289.96,-871.444
0,0,2989.51,-4779.6,1430.62,-14960.3,-0,-0,0,-5297.85,1423.92,3975.37
0,0,5836.37,4786.81,5655.59,-14994.7,13.5722,66.9249,2381.82,4774.44,5828.04,7500
0,0,1512.78,1253.38,-4743.66,-14745.3,-0,-0,0,1692.2,-4453.89,-431.295
0,0,2479.22,4432.57,5150.19,-14790.8,0,0,0,4271.59,5557.5,2464.2
0,0,5526.62,5290.68,3004.84,-14981.7,10.5719,11.7472,2026.35,5173.94,3015.33,7500
0,0,1885.49,361.439,545.712,-14879.9,0,0,0,332.246,671.196,714.684
0,0,2888.28,-1920.22,-2006.95,-14929.9,-0,0,0,-2020.81,-1696.62,3734.02
0,0,2457.62,1381.83,-98.8727,-14985.5,-0,0,0,1238.31,-256.188,2617.65
0,0,3117.26,-5305.21,320.702,-14934.5,-0,0,0,-5076.45,81.915,4649.06
0,0,2968.75,3076.88,5660.49,-14928,-0,-0,0,3274.6,5792.96,3996.24
0,0,2379.54,1616.17,2430.07,-14957.6,0,-0,0,1873.19,2458.96,2200.64
0,0,4460.35,5339.33,2151.5,-14969.8,86.1681,-12.647,800.355,6077.8,1949.15,7500
0,0,2909.41,5389.08,3658.67,-14854.4,-0,0,-0,5855.93,3354.79,3929.78
0,0,1362.9,3521.09,1776.75,-14949,-0,-0,0,3668.87,1500.05,-754.678
0,0,1831.12,589.845,-2678.21,-14869.9,-0,0,0,374.898,-2376.82,538.521
0,0,3871.15,4417.42,1157.62,-14823.8,-74.417,3.57744,617.951,3653.1,1081.35,7500
0,0,5065.93,4547.31,-2854.76,-14894,58.3894,44.7608,1687.07,4704.63,-2627.04,7500
0,0,2257.74,3535.69,3789.45,-14880.6,-0,-0,0,3553.43,3979.47,2157.79
0,0,5986.11,126.458,-4382.97,-14849.2,0.338666,-13.2659,1358.54,173.051,-4464.6,7500
0,0,1413.53,-688.965,-150.341,-14925.8,-0,-0,0,-707.35,-285.959,-802.57
0,0,1298.92,4657.63,4190.27,-14976.4,0,0,0,4585.82,4418.38,-1245.17
0,0,5604.93,3623.85,-4463.04,-14801.6,66.5875,-85.397,1826.25,3773.49,-4908.39,7500
0,0,3646.28,-5244.76,-1865.05,-14984.7,34.2245,-0.363329,428.321,-4572.88,-1829.22,7500
0,0,5856.18,-4947.35,-4975.38,-14981,-95.9001,97.8747,2578.18,-5186.5,-4728.86,7500
0,0,3824.77,-1978.87,2783.72,-14953,8.91402,71.2382,652.073,-2284.53,3194.47,7500
0,0,2027.91,2791.16,-2361.28,-14986.2,0,0,0,2745.67,-2328.88,677.665
0,0,1418,-4140.67,-3394.92,-14989.7,-0,0,0,-3911.56,-3478.84,-646.199
0,0,4280.51,-3735.63,-4990.15,-14845.1,-27.7366,-0.826565,993.433,-4003.71,-4949.88,7500
0,0,2567.16,4561.57,1045.85,-14962.3,-0,-0,0,4531.02,1162.2,2647.12
0,0,2477.9,164.623,-2497.68,-14744.6,0,0,0,80.7028,-2271.68,2764.22
0,0,1742.02,3303.07,-2856.91,-14925.9,-0,-0,0,3462.37,-3076.33,118.388
0,0,2348.09,-2350.37,2913.95,-14682.4,-0,0,0,-2228.3,3101.36,2214.39
0,0,5210.77,1060.11,-4532.5,-14943.5,10.7522,37.9181,1589.38,1086.74,-4340.85,7500
0,0,3056.33,-1250.6,2809.54,-14870.2,-0,-0,0,-1810.33,3342.5,3907.32
0,0,4383.99,-132.021,-1460.85,-14957,-44.9017,53.538,847.457,-411.95,-1120.72,7500
0,0,3726.59,613.023,-3824.78,-14999.5,12.4417,8.78416,359.172,427.01,-3861.91,7500
0,0,4896.82,-244.843,1468.62,-14961.7,57.9851,4.57574,1509.38,-119.514,1565.83,7500
0,0,5693.97,-3706.83,5048.27,-14660.9,56.2384,-50.8915,2245.96,-3507.27,4815.87,7500
0,0,5512.59,3735.73,-3622.76,-14940.4,-97.6735,65.8628,1923.11,3414.51,-3387.23,7500
0,0,5237.22,-4254.1,5528.75,-14960,11.0632,18.4668,1245,-4150.94,5780.34,7500
0,0,4032.46,4986.05,-2918.94,-14943,-43.0168,44.9789,1008.93,4821.79,-2645.19,7500
0,0,3852.8,-671.48,-2082.23,-14995.2,3.67386,33.2712,692.279,-604.391,-1734.36,7500
0,0,5007.18,3597.93,-469.024,-14994,-48.0005,109.765,1779.35,3418.86,80.2667,7500
0,0,2530.27,-3791.53,-631.486,-14997,0,0,0,-3570.8,-1353.23,2716.7
0,0,1688.57,4222.41,5330.49,-14910.9,0,-0,0,4190.23,5473.59,188.565
0,0,3092.72,3782.94,4471.9,-14994.7,0,0,0,3765.48,4116.72,4748.09
0,0,3111.27,-5116.4,-2188.49,-14841.6,-0,-0,0,-5382.75,-2365.74,3621.93
0,0,4979.64,-4503.44,964.381,-14935.6,39.1057,-120.173,1340.8,-4520.08,559.67,7500
0,0,1098.95,-5693.22,-396.458,-14991.5,0,0,0,-5563.12,-379.932,-1705.45
0,0,3731.36,1233.97,-2909.94,-14969.5,20.4846,-37.2142,490.816,1388.08,-3199.8,7500
0,0,3224.8,1544.59,4624.73,-14880.8,29.7084,27.0185,190.178,2289.89,5111.11,7500
0,0,2610.16,-2895.18,4852.92,-14978.2,0,-0,0,-2761.65,4949.69,2991.05
0,0,2704.65,3079.91,2317.51,-14866.9,0,-0,0,3288.31,2499.2,3298.73
0,0,3448.92,-3378.47,-5652.88,-14830.9,79.4789,53.1461,420.123,-2598.54,-5139.52,7500
0,0,1800.63,742.077,5207.54,-14961.1,0,-0,0,634.169,4989.97,376.71
0,0,5197.3,5336.58,-4484.15,-14997.8,-156.3,-31.5858,2046.74,4901.43,-4610.64,7500
0,0,2164.13,-4482.38,3937.76,-14294.7,-0,-0,0,-4645.55,3448.26,1420.91
0,0,1850.15,4020.75,-3536.26,-14990.6,-0,-0,0,4131.02,-3457.38,420.129
0,0,1450.42,2009.97,3315.23,-14997.7,-0,0,0,2016.83,3222.74,-623.641
0,0,2169.09,4760.15,-2753.75,-14999.5,0,-0,0,4749.91,-2685.12,1628.53
0,0,5309.94,2323.59,-5183.8,-14757.9,91.7117,-128.472,2189.08,2634.6,-5532,7500
0,0,1782.1,-2412.26,-2218.45,-14787,0,0,0,-1742.86,-2387.17,314.442
0,0,4047.25,3987.03,2748.47,-14991.4,8.66425,-25.4491,646.449,4236.07,2655.79,7500
0,0,5151.64,-2550.71,-384.195,-14910.8,2.4594,-13.1655,1967.44,-2514.89,-420.817,7500
0,0,2953.68,-1212.99,5697.89,-14771.9,0,-0,0,-962.045,5499.62,3902.67
0,0,2815.51,-657.213,631.032,-14897.5,-0,-0,0,-1057.12,552.237,3320.07
0,0,3977.16,4145.44,3658.92,-14739.5,-22.8229,8.04517,683.181,3929.61,3769.55,7500
0,0,5574.94,-3674.63,4107.14,-14990.7,81.9017,35.3495,2270.73,-3412.63,4218.19,7500
0,0,4300.21,177.707,-3981.57,-14945,-14.4191,27.0718,1211.47,46.3524,-3731.68,7500
0,0,2798.83,-1872.64,1644.06,-14965.3,0,0,0,-1610.03,1714.21,3380.49
0,0,4303.15,1218.09,1795.21,-14951.9,-48.782,-57.4956,792.157,787.886,1447.45,7500
0,0,2759.35,380.028,597.039,-14895,0,-0,0,43.4533,45.9433,3159.34
0,0,5172.28,-2861.92,4023.73,-14855.5,-52.578,-50.0172,1642.17,-3134.29,3799.26,7500
0,0,2439.25,450.777,242.063,-14981.5,-0,-0,0,37.4406,292.334,2788.32
0,0,1703.82,-2260.84,4114.07,-14979.3,-0,0,0,-2293.08,4116.81,-67.5595
0,0,5642.7,-3658.48,-1750.19,-14996.4,-20.6027,-29.312,2112.12,-3708.56,-1773.36,7500
0,0,2352.29,4238.96,63.4152,-14997.5,0,0,0,4247.03,21.5057,2198.13
0,0,1436.98,5503.59,-2014.78,-14996.6,-0,-0,0,5543.54,-1624.21,-711.669
0,0,1008.81,579.979,448.757,-14955.5,0,0,0,635.216,645.137,-2044.93
0,0,2956.9,-194.621,-502.596,-14732.5,-0,0,0,-93.9187,-536.258,3713.95
0,0,4048.91,809.153,-3050.47,-14920.1,-77.5682,-51.2767,712.775,181.849,-3378.91,7500
0,0,3473.35,4906.44,1962.71,-14878.6,-23.1692,-30.5515,216.499,4556.19,1323.08,7500
0,0,5960.93,811.539,3077.07,-14944.8,-87.5043,-83.1218,2706.98,727.28,2892.9,7500
0,0,1649.07,2847.75,-4404.11,-14786.9,-0,0,0,2667.08,-4170.69,209.859
0,0,5175.02,4817.75,2239.22,-14758.5,-117.601,144.715,1712.1,4423.5,2658.28,7500
0,0,1443.44,1351.53,-3642.33,-14915,0,-0,0,1431.9,-3724.27,-784.755
0,0,5127.71,1322.29,4933.15,-14980.9,-60.7541,-14.0015,1499.9,1074.31,4982.31,7500
0,0,2669.66,-3157.13,-5626.32,-14716.9,-0,0,0,-3067.76,-5606.99,2815.36
0,0,4408.1,5304.18,94.5398,-14988.1,38.2487,-61.9907,1021.21,5741.14,-76.843,7500
0,0,5739.34,1634.56,-51.5324,-14773.8,103.544,-7.93035,2328.2,1989.34,-10.2092,7500
0,0,4580.58,-2862.78,2666.27,-14979.2,44.5291,113.718,1267.63,-2691.04,3042.06,7500
0,0,1997.53,-1970.96,-1668.26,-14982.2,-0,-0,0,-2121.63,-1456.23,791.158
0,0,4861.46,-212.858,-451.268,-14942.2,43.0783,-10.4875,1477.4,87.733,-471.632,7500
0,0,2065.82,3777.81,3245.23,-14954.2,0,0,0,3608.87,3356.64,1290.57
0,0,1112.87,1802.09,-2680.3,-14991.7,0,-0,0,1742.42,-2636.8,-1728.78
0,0,2350.6,-5637.4,3903.17,-14921.1,0,-0,0,-5654.49,3700.39,1679.76
0,0,3605.81,4085.09,3104.56,-14908.8,-32.719,26.334,228.105,3748.51,3629.14,7500
0,0,1175.8,4638.11,-4249.03,-14994.8,0,-0,-0,4928.21,-4175.32,-1401.92
0,0,2229.83,1114.71,-2852.62,-14891.1,-0,-0,0,705.747,-3042.41,2019.6
0,0,2524.67,4270.21,2565.11,-14968.4,0,-0,0,4606.09,2527.2,2392.04
0,0,1925.71,-5499.38,1562.79,-14807.8,-0,0,0,-5711.13,1581.64,674.933
0,0,4573.78,-1928.82,-2411.43,-14733.8,52.7884,-99.3973,1350.67,-1828.61,-2830.01,7500
0,0,5516.34,195.479,2572.96,-14984.5,130.433,122.369,1973.54,577.539,3002.37,7500
0,0,5243.04,4921.89,1674.12,-14865,42.644,-108.996,2057.53,5022.28,1370.32,7500
0,0,3136.36,-5421.12,-5606.66,-14987.6,0,0,0,-4860.83,-5639.63,4520.53
0,0,2301.13,2772.72,4662.16,-14993.9,0,0,0,3067.08,4492.99,1612.42
0,0,2814.38,-2771.8,5738.82,-14992.5,0,-0,0,-2487.05,5852.34,3436.67
0,0,4545.24,258.348,-1127.33,-14939.5,-38.0076,5.79983,1399.64,17.0652,-916.931,7500
0,0,2904.93,1235.67,-5586.19,-14862.7,0,-0,0,741.132,-5650.18,3999.79
0,0,2366.87,4971.85,4327.47,-14864.2,-0,0,0,5065.67,4442.4,2233.48
